Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.164426E-01,8.089325E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.491555E+03,9.465872E-02,1.095671E+03,2.714120E+03,5.521040E-01,1.354276E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.130247E+03,7.172897E-02,8.302603E+02,2.056662E+03,3.422603E-01,8.316125E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.707366E+02,4.256703E-02,4.927119E+02,1.220511E+03,5.386543E-01,1.328588E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.130247E+03,7.172897E-02,8.302603E+02,2.056662E+03,3.420636E-01,8.312367E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.707366E+02,4.256703E-02,4.927119E+02,1.220511E+03
00:20:00,2.163725E-01,8.087986E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.501733E+03,9.465872E-02,1.085494E+03,2.703611E+03,5.520509E-01,1.354174E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.137959E+03,7.172897E-02,8.225481E+02,2.048699E+03,3.422287E-01,8.315520E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.753134E+02,4.256703E-02,4.881351E+02,1.215785E+03,5.386011E-01,1.328486E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.137959E+03,7.172897E-02,8.225481E+02,2.048699E+03,3.420319E-01,8.311763E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.753134E+02,4.256703E-02,4.881351E+02,1.215785E+03
00:30:00,2.163026E-01,8.086652E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.511911E+03,9.465872E-02,1.075316E+03,2.693102E+03,5.519979E-01,1.354073E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.145671E+03,7.172897E-02,8.148358E+02,2.040735E+03,3.421971E-01,8.314917E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.798902E+02,4.256703E-02,4.835583E+02,1.211059E+03,5.385480E-01,1.328385E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.145671E+03,7.172897E-02,8.148358E+02,2.040735E+03,3.420004E-01,8.311160E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.798902E+02,4.256703E-02,4.835583E+02,1.211059E+03
00:40:00,2.162331E-01,8.085324E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.522088E+03,9.465872E-02,1.065138E+03,2.682591E+03,5.519450E-01,1.353972E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.153384E+03,7.172897E-02,8.071235E+02,2.032771E+03,3.421656E-01,8.314316E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.844670E+02,4.256703E-02,4.789815E+02,1.206333E+03,5.384951E-01,1.328284E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.153384E+03,7.172897E-02,8.071235E+02,2.032771E+03,3.419689E-01,8.310559E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.844670E+02,4.256703E-02,4.789815E+02,1.206333E+03
00:50:00,2.161637E-01,8.084001E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.532266E+03,9.465872E-02,1.054961E+03,2.672082E+03,5.518924E-01,1.353872E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.161096E+03,7.172897E-02,7.994112E+02,2.024807E+03,3.421343E-01,8.313717E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.890438E+02,4.256703E-02,4.744047E+02,1.201607E+03,5.384424E-01,1.328183E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.161096E+03,7.172897E-02,7.994112E+02,2.024807E+03,3.419375E-01,8.309960E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.890438E+02,4.256703E-02,4.744047E+02,1.201607E+03
01:00:00,2.160947E-01,8.082682E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.542444E+03,9.465872E-02,1.044783E+03,2.661573E+03,5.518399E-01,1.353772E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.168808E+03,7.172897E-02,7.916989E+02,2.016844E+03,3.421030E-01,8.313120E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.936206E+02,4.256703E-02,4.698279E+02,1.196881E+03,5.383899E-01,1.328083E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.168808E+03,7.172897E-02,7.916989E+02,2.016844E+03,3.419063E-01,8.309363E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.936206E+02,4.256703E-02,4.698279E+02,1.196881E+03
01:10:00,2.160990E-01,8.082764E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.549229E+03,9.465872E-02,1.037998E+03,2.654567E+03,5.518445E-01,1.353780E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.173950E+03,7.172897E-02,7.865574E+02,2.011535E+03,3.421058E-01,8.313174E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.966718E+02,4.256703E-02,4.667767E+02,1.193731E+03,5.383945E-01,1.328092E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.173950E+03,7.172897E-02,7.865574E+02,2.011535E+03,3.419091E-01,8.309416E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.966718E+02,4.256703E-02,4.667767E+02,1.193731E+03
01:20:00,2.161032E-01,8.082845E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.556014E+03,9.465872E-02,1.031213E+03,2.647560E+03,5.518490E-01,1.353789E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.179091E+03,7.172897E-02,7.814158E+02,2.006226E+03,3.421086E-01,8.313227E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.997230E+02,4.256703E-02,4.637255E+02,1.190580E+03,5.383991E-01,1.328100E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.179091E+03,7.172897E-02,7.814158E+02,2.006226E+03,3.419119E-01,8.309470E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.997230E+02,4.256703E-02,4.637255E+02,1.190580E+03
01:30:00,2.161075E-01,8.082926E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.562799E+03,9.465872E-02,1.024428E+03,2.640554E+03,5.518535E-01,1.353798E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.184233E+03,7.172897E-02,7.762743E+02,2.000916E+03,3.421114E-01,8.313280E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,7.027742E+02,4.256703E-02,4.606743E+02,1.187429E+03,5.384036E-01,1.328109E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.184233E+03,7.172897E-02,7.762743E+02,2.000916E+03,3.419146E-01,8.309522E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,7.027742E+02,4.256703E-02,4.606743E+02,1.187429E+03
01:40:00,2.161117E-01,8.083006E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.569584E+03,9.465872E-02,1.017642E+03,2.633547E+03,5.518580E-01,1.353806E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.189374E+03,7.172897E-02,7.711328E+02,1.995607E+03,3.421141E-01,8.313332E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,7.058254E+02,4.256703E-02,4.576231E+02,1.184278E+03,5.384081E-01,1.328117E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.189374E+03,7.172897E-02,7.711328E+02,1.995607E+03,3.419174E-01,8.309574E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,7.058254E+02,4.256703E-02,4.576231E+02,1.184278E+03
